record_id,filename,quality_label,scene_type,primary_subject,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,review_status
ca_img_108,108.jpg,good,cinematic_promo_frame,мужчина на пляже,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_109,109.jpg,good,cinematic_promo_frame,ребёнок в автомобиле,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_110,110.jpg,good,cinematic_promo_frame,героиня на фоне огня,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_111,111.jpg,good,cinematic_promo_frame,персонажи в коридоре,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_112,112.jpg,good,cinematic_promo_frame,персонажи в тёмной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_113,113.jpg,good,cinematic_promo_frame,пара персонажей в помещении,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_114,114.jpg,good,cinematic_promo_frame,мужчина в тёплом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_115,115.jpg,good,cinematic_promo_frame,два персонажа в помещении,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_116,116.jpg,good,cinematic_promo_frame,персонаж в пустынном пространстве,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_117,117.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_118,118.jpg,good,cinematic_promo_frame,мужчина в контровом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_119,119.jpg,good,cinematic_promo_frame,ребёнок в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_120,120.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_121,121.jpg,good,cinematic_promo_frame,женщина в светлой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_122,122.jpg,good,cinematic_promo_frame,анимационный персонаж,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_123,123.jpg,good,cinematic_promo_frame,графический промо-кадр,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_124,124.jpg,good,cinematic_promo_frame,два персонажа в военной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_125,125.jpg,good,cinematic_promo_frame,крупный фантастический объект,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_126,126.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_127,127.jpg,good,cinematic_promo_frame,женщина в крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_128,128.jpg,good,cinematic_promo_frame,мужчина в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_129,129.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_130,130.jpg,good,cinematic_promo_frame,группа персонажей в офисной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_131,131.jpg,good,cinematic_promo_frame,персонажи в диалоговой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_132,132.jpg,good,cinematic_promo_frame,женщина в драматическом крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_133,133.jpg,good,cinematic_promo_frame,мужчина в автомобиле,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_134,134.jpg,good,cinematic_promo_frame,мужчина у автомобиля,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_135,135.jpg,good,cinematic_promo_frame,мужчина на городской улице,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_136,136.jpg,good,cinematic_promo_frame,мужчина в зимней сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_137,137.jpg,good,cinematic_promo_frame,две женщины в деловой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_138,138.jpg,good,cinematic_promo_frame,мужчина в тёплом интерьере,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_139,139.jpg,good,cinematic_promo_frame,группа людей за столом,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_140,140.jpg,good,cinematic_promo_frame,персонажи в коридоре,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_141,141.jpg,good,cinematic_promo_frame,мужчина в тёплом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_142,142.jpg,good,cinematic_promo_frame,персонаж в пустынном пространстве,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_143,143.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_144,144.jpg,good,cinematic_promo_frame,мужчина в контровом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_145,145.jpg,good,cinematic_promo_frame,ребёнок в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_146,146.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_147,147.jpg,good,cinematic_promo_frame,женщина в светлой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_148,148.jpg,good,cinematic_promo_frame,анимационный персонаж,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_149,149.jpg,good,cinematic_promo_frame,два персонажа в военной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_150,150.jpg,good,cinematic_promo_frame,крупный фантастический объект,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_151,151.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_152,152.jpg,good,cinematic_promo_frame,женщина в крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_153,153.jpg,good,cinematic_promo_frame,мужчина в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_154,154.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_155,155.jpg,good,cinematic_promo_frame,группа персонажей в офисной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_156,156.jpg,good,cinematic_promo_frame,персонажи в диалоговой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_157,157.jpg,good,cinematic_promo_frame,женщина в драматическом крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
