record_id,filename,quality_label,scene_type,primary_subject,expected_semantic_actions,future_needed_actions,forbidden_actions,eval_tags,review_status
ca_img_158,158.jpg,bad,bad_framing_cluttered_beach_portrait,man on beach chair,simplify_background|remove_distracting_object|step_closer,,keep_current_setup|step_back,imagegen_bad|clutter|foreground_obstruction|bad_crop|parent_108|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_159,159.jpg,bad,bad_framing_occluded_car_portrait,girl in car,wait_for_background_clearance|shift_frame_left|step_back,avoid_occlusion,keep_current_setup|step_closer,imagegen_bad|occlusion|edge_cutoff|glare|parent_109|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_160,160.jpg,bad,bad_framing_hotspot_portrait,person near fire,remove_background_hotspot|change_camera_angle|add_front_fill_light,reduce_exposure,keep_current_setup,imagegen_bad|hotspot|backlight|underexposure|parent_110|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_161,161.jpg,bad,bad_framing_crowded_corridor,two people in corridor,simplify_background|wait_for_background_clearance|remove_distracting_object,,keep_current_setup,imagegen_bad|crowd|clutter|tilt|parent_111|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_162,162.jpg,bad,bad_framing_silhouette_hallway,people in hallway,add_front_fill_light|rotate_subject_toward_light|change_camera_angle,increase_exposure,keep_current_setup,imagegen_bad|backlight|underexposure|bad_crop|parent_112|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_163,163.jpg,bad,bad_framing_foreground_obstruction,people in hallway,remove_distracting_object|step_back|shift_frame_up,avoid_occlusion,keep_current_setup|step_closer,imagegen_bad|foreground_obstruction|headroom|edge_cutoff|parent_113|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_164,164.jpg,bad,bad_framing_edge_cutoff_portrait,man in warm interior,step_back|shift_frame_left|remove_background_hotspot,reduce_exposure,keep_current_setup|step_closer,imagegen_bad|edge_cutoff|hotspot|foreground_obstruction|parent_114|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_165,165.jpg,bad,bad_framing_subject_too_small,people in room,step_closer|simplify_background,,keep_current_setup|step_back,imagegen_bad|subject_too_small|empty_space|foreground_obstruction|parent_115|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_166,166.jpg,bad,bad_framing_desert_hotspot,rider or figure in desert,remove_background_hotspot|change_camera_angle|step_closer,reduce_exposure,keep_current_setup|step_back,imagegen_bad|hotspot|low_readability|empty_space|parent_116|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_167,167.jpg,bad,bad_framing_busy_sci_fi_portrait,armored character,simplify_background|move_subject_away_from_background|shift_frame_right,,keep_current_setup,imagegen_bad|background_competition|clutter|edge_pressure|parent_117|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_168,168.jpg,bad,bad_framing_barred_tunnel,person in tunnel,step_back|change_camera_angle|shift_frame_down,avoid_occlusion,keep_current_setup|step_closer,imagegen_bad|foreground_bars|headroom|edge_cutoff|parent_118|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_169,169.jpg,bad,bad_framing_branch_occluded_portrait,child in forest,add_front_fill_light|change_camera_angle|remove_distracting_object,increase_exposure|avoid_occlusion,keep_current_setup,imagegen_bad|backlight|occlusion|branches|parent_119|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_170,170.jpg,bad,bad_framing_fence_obstruction,woman and creature,remove_distracting_object|shift_frame_left|step_closer,avoid_occlusion,keep_current_setup|step_back,imagegen_bad|occlusion|foreground_obstruction|clutter|parent_120|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_171,171.jpg,bad,bad_framing_kitchen_clutter,woman in kitchen or lab,simplify_background|remove_distracting_object|step_back,,keep_current_setup,imagegen_bad|clutter|bad_headroom|foreground_obstruction|parent_121|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_172,172.jpg,bad,bad_framing_tiny_animated_subject,animated black cat,step_closer|simplify_background|wait_for_background_clearance,,keep_current_setup|step_back,imagegen_bad|subject_too_small|crowd|edge_cutoff|parent_122|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_173,173.jpg,bad,bad_framing_text_occluded_hallway,woman in locker hallway,remove_distracting_object|shift_frame_right|step_back,avoid_occlusion,keep_current_setup|step_closer,imagegen_bad|occlusion|text_like_graphic|tilt|edge_cutoff|parent_123|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_174,174.jpg,bad,bad_framing_two_person_backlight,two men in dark interior,add_front_fill_light|rotate_subject_toward_light|change_camera_angle,increase_exposure,keep_current_setup,imagegen_bad|backlight|edge_cutoff|underexposure|parent_124|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_175,175.jpg,bad,bad_framing_creature_hotspot,sea creature,remove_background_hotspot|step_closer|change_camera_angle,reduce_exposure,keep_current_setup|step_back,imagegen_bad|hotspot|edge_cutoff|empty_space|parent_125|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_176,176.jpg,bad,bad_framing_crowded_alley,suited man in alley,wait_for_background_clearance|simplify_background|shift_frame_left,avoid_occlusion,keep_current_setup,imagegen_bad|crowd|empty_space|edge_cutoff|parent_126|imagegen_bad_v1,imagegen_synthetic_needs_human_review
ca_img_177,177.jpg,bad,bad_framing_close_portrait_cutoff,woman in yellow jacket,shift_frame_right|step_back|move_subject_left,,keep_current_setup|step_closer,imagegen_bad|edge_cutoff|empty_space|portrait|parent_127|imagegen_bad_v1,imagegen_synthetic_needs_human_review
